Артикул;артикул додатковий;тип покриття;название;кольори;розмір;скло;ціна;фото
DR-0001;DR-0001-1;ппл;Двері міжкімнатні Меленія-1;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2000";сатин;5 228 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0001;DR-0001-2;ппл;Двері міжкімнатні Меленія-1;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2000";чорне;5 541 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0001;DR-0001-3;пвх;Двері міжкімнатні Меленія-1;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2000";сатин;4 928 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0001;DR-0001-4;пвх;Двері міжкімнатні Меленія-1;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2000";чорне;5 270 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0002;DR-0002-1;ппл;Двері міжкімнатні Меленія-2;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2001";сатин;5 270 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0002;DR-0002-2;ппл;Двері міжкімнатні Меленія-2;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2002";чорне;5 480 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0002;DR-0002-3;пвх;Двері міжкімнатні Меленія-2;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2003";сатин;4 880 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0002;DR-0002-4;пвх;Двері міжкімнатні Меленія-2;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2004";чорне;5 051 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0003;DR-0003-1;ппл;Двері міжкімнатні Меленія-3;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2004";сатин;5 292 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0003;DR-0003-2;ппл;Двері міжкімнатні Меленія-3;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2004";чорне;5 510 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0003;DR-0003-3;пвх;Двері міжкімнатні Меленія-3;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2004";сатин;4 911 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0003;DR-0003-4;пвх;Двері міжкімнатні Меленія-3;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2004";чорне;5 093 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0004;DR-0004-1;ппл;Двері міжкімнатні Меленія-4;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2005";сатин;5 558 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0004;DR-0004-2;ппл;Двері міжкімнатні Меленія-4;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2006";чорне;6 065 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
DR-0004;DR-0004-3;пвх;Двері міжкімнатні Меленія-4;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2007";сатин;5 015 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0004;DR-0004-4;пвх;Двері міжкімнатні Меленія-4;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg";"600*2000

700*2000

800*2000

900*2008";чорне;5 435 ;"Білий УМ.jpg
Дуб грей.jpg
Дуб крем.jpg
Дуб шато.jpg"
DR-0005;DR-0005-1;ппл;Двері міжкімнатні Меленія-5;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg";"600*2000

700*2000

800*2000

900*2009";сатин;5 241 ;"Білий.jpg
Бартекс грей.jpg
Дуб болтон.jpg
Елегансія Магік.jpg
Рустік Авіньон.jpg
сканді.jpg"
