"Артикул","Название","закуп цена","Цена","Описание","Цвет","Размер","Покриття","Покриття","Подразделение","название изображения (door1.jpg)"
"SQ-TST-001","Акустична стінова панель ""Квадрат""","615","860","Акустична стінова панель ""Квадрат""","Титан софттач","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Титан софттач.png"
"SQ-SRU-002","Акустична стінова панель ""Квадрат""","455","640","Акустична стінова панель ""Квадрат""","сірий ум","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","сірий ум.png"
"SQ-DAN-003","Акустична стінова панель ""Квадрат""","498","700","Акустична стінова панель ""Квадрат""","Дуб антік","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Дуб антік.png"
"SQ-DVT-004","Акустична стінова панель ""Квадрат""","498","700","Акустична стінова панель ""Квадрат""","Дуб Вотан","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Дуб Вотан.png"
"SQ-KSH-005","Акустична стінова панель ""Квадрат""","498","700","Акустична стінова панель ""Квадрат""","Кашемір","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Кашемір.png"
"SQ-DKM-006","Акустична стінова панель ""Квадрат""","498","700","Акустична стінова панель ""Квадрат""","Дуб камя'ний","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Дуб камя'ний.png"
"SQ-FPL-007","Акустична стінова панель ""Квадрат""","498","700","Акустична стінова панель ""Квадрат""","Фанера палена","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Фанера палена.png"
"SQ-BUM-008","Акустична стінова панель ""Квадрат""","455","640","Акустична стінова панель ""Квадрат""","Білий ультрамат","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Білий ультрамат.png"
"SQ-DBL-009","Акустична стінова панель ""Квадрат""","498","700","Акустична стінова панель ""Квадрат""","Дуб болтон","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Дуб болтон.png"
"SQ-RBL-010","Акустична стінова панель ""Квадрат""","480","670","Акустична стінова панель ""Квадрат""","Рустік блан","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Рустік блан.png"
"SQ-RZT-011","Акустична стінова панель ""Квадрат""","520","730","Акустична стінова панель ""Квадрат""","Рустік золотий","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Рустік золотий.png"
"SQ-RAV-012","Акустична стінова панель ""Квадрат""","480","670","Акустична стінова панель ""Квадрат""","Рустік авіньон","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Рустік авіньон.png"
"SQ-YKP-013","Акустична стінова панель ""Квадрат""","498","700","Акустична стінова панель ""Квадрат""","Ялина карпатська","602 х 602 х 17","ПВХ","ППЛ","Стінові панелі","Ялина карпатська.png"
"ST-TST-001","Акустична стінова панель ""Смуги""","1125","1580","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Титан софттач","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Титан софттач.png"
"ST-SRU-002","Акустична стінова панель ""Смуги""","813","1140","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","сірий ум","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","сірий ум.png"
"ST-DAN-003","Акустична стінова панель ""Смуги""","875","1230","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Дуб антік","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Дуб антік.png"
"ST-DVT-004","Акустична стінова панель ""Смуги""","875","1230","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Дуб Вотан","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Дуб Вотан.png"
"ST-KSH-005","Акустична стінова панель ""Смуги""","875","1230","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Кашемір","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Кашемір.png"
"ST-DKM-006","Акустична стінова панель ""Смуги""","875","1230","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Дуб камя'ний","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Дуб камя'ний.png"
"ST-FPL-007","Акустична стінова панель ""Смуги""","875","1230","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Фанера палена","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Фанера палена.png"
"ST-BUM-008","Акустична стінова панель ""Смуги""","813","1140","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Білий ультрамат","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Білий ультрамат.png"
"ST-DBL-009","Акустична стінова панель ""Смуги""","875","1230","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Дуб болтон","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Дуб болтон.png"
"ST-RBL-010","Акустична стінова панель ""Смуги""","850","1190","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Рустік блан","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Рустік блан.png"
"ST-RZT-011","Акустична стінова панель ""Смуги""","950","1330","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Рустік золотий","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Рустік золотий.png"
"ST-RAV-012","Акустична стінова панель ""Смуги""","850","1190","Акустична стінова панель ""Смуги"" / *ціни вказані без пакування","Рустік авіньон","301 х 2780 х 17","ПВХ","ППЛ","Стінові панелі","Рустік авіньон.png"
